기준연월,SGG_ID,행정구역별,전월대비방문인구증감률,코드분류,인구감소소멸지역코드,티맵_자연관광지_검색건수,티맵_역사관광지_검색건수,티맵_휴양관광지_검색건수,티맵_공연_행사_검색건수,티맵_문화시설_검색건수,티맵_레포츠(육상해상항공)_검색건수,티맵_쇼핑_검색건수,티맵_식음료_검색건수,티맵_숙박_검색건수,티맵_기타관광지_검색건수,비씨카드_내국인_소비금액,비씨카드_외국인_소비금액,비씨카드_거주민_소비금액,외국인관광객수_무박,외국인관광객수_1박,외국인관광객수_2박,외국인관광객수_3박이상,외지인관광객수_무박,외지인관광객수_1박,외지인관광객수_2박,외지인관광객수_3박이상,남녀성비,전입인구,전출인구,순이동인구,고령인구비율,혼인건수,이혼건수,주민등록인구,지가변동률
201812,47820,청도군,5.66753,2,2,876,3109,3282,12,556,2155,245,5661,2785,1415,2824902920,,2150301083,1840.389,71.61047,85.93257,193.3483,514045,49318.5,11459,17689,96.2,504,442,62,35.2,9,12,43057,0.281
201812,47830,고령군,3.398444,2,2,271,162,58,91,493,647,362,1088,402,305,1456950686,2800,1730931755,685.093,78.50024,49.9547,217.6598,312077.5,18210.5,5817,13702.5,104.1,241,281,-40,28.5,5,12,32969,0.258
201812,47840,성주군,0.506766,2,2,619,518,72,,99,322,247,1464,1681,341,3459186274,,2203777857,1318.572,86.89728,98.23171,370.258,401037,34573,9282,24269,106.2,812,569,243,29.4,3,22,44672,0.288
201812,47850,칠곡군,1.05309,0,0,2048,1179,613,88,802,1547,698,11925,1913,1271,10987849983,4303300,7849258048,2329.774,148.3932,112.7788,866.6164,1152757,68694.5,21357,55884.5,108.8,"1,044","1,093",-49,14.0,23,51,118828,0.246
201812,47900,예천군,1.751016,0,0,240,922,690,0,135,562,579,5000,702,1134,1488093423,,2930653291,488.9814,48.29446,36.22084,250.5275,364735,38181.5,14294,33929,96.6,648,522,126,29.8,4,22,53274,0.134
201812,47920,봉화군,10.55405,2,2,736,733,0,,19,48,110,982,468,1439,650960124,,1647678365,255.0305,32.32781,43.10375,215.5188,188293,19733,9093,16982,99.8,256,303,-47,33.6,4,10,32843,0.089
201812,47930,울진군,-6.44578,3,2,14766,713,6320,57,1356,656,1198,8029,7604,4280,2739839890,6741021,2753392412,4673.36,344.1621,108.6828,232.4604,415366,91983.5,34419,57295,99.7,389,425,-36,26.1,7,27,50036,0.212
201812,47940,울릉군,19.57673,2,2,107,0,0,,0,0,0,3,11,49,164269489,,360376838,7413.535,346.7621,47.82926,71.74389,34954.5,4651.5,2485,8151.5,118.3,93,138,-45,23.3,4,4,9832,0.45
201812,48121,창원시 의창구,-2.73709,1,0,3358,1327,4184,526,1100,1501,2710,28294,4370,482,19236204009,1333200,19590595814,5910.913,525.4836,360.687,1340.139,2965480,126119,48244,135999.5,102.8,"1,940","2,062",-122,12.5,75,173,210720,-0.053
201812,48123,창원시 성산구,-12.1824,1,0,2311,1142,333,5669,4843,797,6552,53304,12041,721,21942831363,9133060,21447603999,9787.72,790.4759,714.3171,1657.111,2795209,158742.5,71183,225242.5,102.8,"1,940","2,062",-122,12.5,33,44,210720,-0.219
201812,48125,창원시 마산합포구,-2.39592,1,0,2394,744,473,513,413,186,6123,26992,5458,2821,13795963500,534480,14966948365,5163.65,433.6502,267.6853,580.8772,1842404,93705.5,33985,84668.5,102.8,"1,940","2,062",-122,12.5,23,65,210720,0.001
201812,48127,창원시 마산회원구,-6.26456,1,0,436,521,230,1597,166,193,1722,11692,968,469,14750565999,,14839584422,2408.307,259.2047,137.8051,547.9391,1566212,87881.5,36561,102595.5,102.8,"1,940","2,062",-122,12.5,104,289,210720,0.064
201812,48129,창원시 진해구,-5.40067,1,0,4936,444,731,858,241,3666,5837,31739,2192,3034,9401570654,116900,15113234535,6253.129,1258.959,208.3384,1130.98,1135481,80153.5,34902,96883.5,102.8,"1,940","2,062",-122,12.5,14,29,210720,-0.279
201812,48170,진주시,-1.81815,1,0,2042,2619,451,2455,842,1003,11498,56156,7467,1172,13911062012,50970,32654812436,3987.816,376.209,319.2077,996.3839,1478040,159600,64085,161217,98.1,"4,952","4,984",-32,15.4,56,116,345987,0.113
201812,48220,통영시,-1.86648,3,1,13758,1964,16,1036,2129,8882,14939,30374,20384,14746,6169662353,68000,10738161992,31782.4,849.5489,481.9259,741.4245,994962.5,186028.5,55944,73097.5,101.3,"1,732","1,895",-163,17.1,73,206,133720,0.071
